N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,100",상승 400,+0.60%,100,"3,972,077","5,919,638",50.08,"23,853,052",13.00,9.03
2,SK하이닉스,"269,000",하락 500,-0.19%,"5,000","1,958,326","728,002",55.28,"5,245,613",7.54,31.06
3,LG에너지솔루션,"322,500","상승 5,500",+1.74%,500,"754,650","234,000",4.20,"281,309",-64.84,-4.93
4,삼성바이오로직스,"1,051,000","하락 19,000",-1.78%,"2,500","748,039","71,174",13.02,"75,664",58.46,10.45
5,삼성전자우,"54,900",하락 200,-0.36%,100,"447,970","815,975",74.10,"2,044,941",10.64,N/A
6,KB금융,"113,400","하락 1,400",-1.22%,"5,000","432,578","381,462",77.76,"627,930",7.87,8.86
7,현대차,"210,500",상승 500,+0.24%,"5,000","431,015","204,758",35.97,"317,353",4.59,12.43
8,한화에어로스페이스,"896,000",보합 0,0.00%,"5,000","423,774","47,296",44.87,"176,796",18.12,53.94
9,두산에너빌리티,"64,800","상승 1,500",+2.37%,"5,000","415,084","640,561",23.90,"5,840,366",-407.55,1.52
10,셀트리온,"180,300",하락 100,-0.06%,"1,000","401,034","222,426",21.57,"257,912",83.43,2.46
11,기아,"99,800",하락 400,-0.40%,"5,000","396,877","397,673",39.26,"586,973",4.26,19.09
12,NAVER,"242,000","하락 1,500",-0.62%,100,"383,418","158,437",44.59,"703,602",21.13,7.90
13,HD현대중공업,"405,500","상승 5,000",+1.25%,"5,000","359,975","88,773",10.99,"116,930",41.04,11.39
14,신한지주,"68,900","하락 1,000",-1.43%,"5,000","334,506","485,495",59.98,"771,031",7.56,8.11
15,삼성물산,"174,400","하락 10,000",-5.42%,100,"296,439","169,977",27.09,"675,471",13.93,6.83
16,현대모비스,"303,000","하락 4,500",-1.46%,"5,000","278,139","91,795",43.36,"159,995",6.68,9.35
17,삼성생명,"135,600","하락 4,200",-3.00%,500,"271,200","200,000",21.60,"378,143",12.79,6.18
18,하나금융지주,"91,500",하락 400,-0.44%,"5,000","260,522","284,724",67.41,"569,572",6.90,9.11
19,HMM,"25,000",하락 250,-0.99%,"5,000","256,260","1,025,039",6.95,"974,570",4.93,15.35
